token,symbol,name,exch,instrument_type,lot_size,tick_size,updated_at
531400,ALMONDZ,ALMONDZ,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
506120,ALNATRD,ALNATRD,BSE,,50,0.01,2026-07-05 08:48:17.051738+00
521070,ALOKINDS,ALOKINDS,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532878,ALPA,ALPA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
590154,ALPHA,ALPHA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544007,ALPHAETF,ALPHAETF,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
526397,ALPHAGEO,ALPHAGEO,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543937,ALPHAIND,ALPHAIND,BSE,,600,0.05,2026-07-05 08:48:17.051738+00
542770,ALPHALOGIC,ALPHALOGIC,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
526519,ALPINEHOU,ALPINEHOU,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543219,ALPL30IETF,ALPL30IETF,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
535916,ALSL,ALSL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
524634,ALUFLUOR,ALUFLUOR,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544679,AMAGI,AMAGI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
506597,AMAL,AMAL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
501622,AMALGAM,AMALGAM,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543804,AMANAYA,AMANAYA,BSE,,6000,0.01,2026-07-05 08:48:17.051738+00
544502,AMANTA,AMANTA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
521097,AMARJOTHI,AMARJOTHI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
538863,AMARNATH,AMARNATH,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
538465,AMARSEC,AMARSEC,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
500009,AMBALALSA,AMBALALSA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
519471,AMBARPIL,AMBARPIL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540902,AMBER,AMBER,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532335,AMBICAAGAR,AMBICAAGAR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531978,AMBIKCO,AMBIKCO,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526439,AMBIT,AMBIT,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543678,AMBOAGRI,AMBOAGRI,BSE,,1000,0.01,2026-07-05 08:48:17.051738+00
500425,AMBUJACEM,AMBUJACEM,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
530133,AMCOIND,AMCOIND,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532828,AMDIND,AMDIND,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544555,AMEENJI,AMEENJI,BSE,,1200,0.05,2026-07-05 08:48:17.051738+00
531681,AMERISE,AMERISE,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
513117,AMFORG,AMFORG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544037,AMIC,AMIC,BSE,,100,0.05,2026-07-05 08:48:17.051738+00
541771,AMINTAN,AMINTAN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544743,AMIRCHAND,AMIRCHAND,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
531557,AMITSEC,AMITSEC,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
500343,AMJLAND,AMJLAND,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544169,AMKAY,AMKAY,BSE,,2000,0.01,2026-07-05 08:48:17.051738+00
506248,AMNPLST,AMNPLST,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
535719,AMPVOLTS,AMPVOLTS,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531991,AMRAAGRI,AMRAAGRI,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539265,AMRAFIN,AMRAFIN,BSE,,1200,0.01,2026-07-05 08:48:17.051738+00
526241,AMRAPLIN,AMRAPLIN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
590006,AMRUTANJAN,AMRUTANJAN,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540066,AMS,AMS,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
534612,AMTL,AMTL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544353,AMWILL,AMWILL,BSE,,1200,0.01,2026-07-05 08:48:17.051738+00
501630,ANANDPROJ,ANANDPROJ,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543415,ANANDRATHI,ANANDRATHI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
515055,ANANTRAJ,ANANTRAJ,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
502330,ANDHRAPAP,ANDHRAPAP,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
500012,ANDHRAPET,ANDHRAPET,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
590062,ANDHRSUGAR,ANDHRSUGAR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
526173,ANDREWYU,ANDREWYU,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
540694,ANG,ANG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
541006,ANGEL,ANGEL,BSE,,4000,0.01,2026-07-05 08:48:17.051738+00
